"city","pop","poppc","pop2000","babies","children","elderly","female","white","black","native","asian","islander","multir","hispanic","stayput","foreign","nonenglish","highschool","grads","commute","units","ownership","housevalue","households","housesold_size","housesold_income","income","poverty","trade_sales","retail_sales","retail_sales_pc","accomod","firms","firms_black","firms_native","firms_asian","firms_hispanic","firms_islander","firms_female","area","density","fips","county"
"Rancho Santa Margarita",50618,5.9,47214,10.2,33.6,3.4,50.8,81.6,1.7,0.4,7.4,0.2,4.1,13,37.4,13.2,18.3,95.1,43.8,32.8,16515,78.3,280700,16253,2.9,78475,31531,2.9,344178,369395,7607,51321,4433,NA,NA,NA,10.3,NA,30.5,12,3847.9,59587,"Orange County "
"Redding",90033,11,80865,6.6,26.1,15.5,52.1,88.7,1.1,2.2,3,0.1,3.3,5.4,42.6,5.1,7.6,85.2,19.4,17.8,33802,56.7,121600,32103,2.44,34194,18207,15.6,432826,1651811,19255,174339,7743,NA,1.9,4.6,3.1,NA,30.3,58,1383.7,59920,"Shasta County "
"Redlands",70382,10.7,63591,6.2,26.2,12.6,52.8,73.7,4.3,0.9,5.1,0.2,4.4,24.1,50.8,12.8,22.1,86.6,35.2,23.5,24790,60.4,159300,23593,2.61,48155,24237,10.5,148800,1168501,17538,71845,5419,NA,NA,NA,NA,NA,27.4,35,1792.8,59962,"San Bernardino County "
"Redondo Beach",67346,6.5,63261,5.7,18.8,8.5,49.6,78.6,2.5,0.5,9.1,0.4,4.6,13.5,46.6,17,21.3,92.5,48,28,29543,49.5,353300,28566,2.21,69173,38305,5.9,314888,637462,9744,161530,8342,NA,NA,7.7,8,NA,33.8,6,10073.4,60018,"Los Angeles County "
"Redwood City",73691,-2.3,75402,7.5,23.2,10.2,49.7,69,2.5,0.5,8.9,0.9,4.2,31.2,49,30,39.4,82.9,35.7,25,28921,53,517800,28060,2.62,66748,34042,6,829143,1301027,17523,130775,7510,NA,NA,NA,NA,NA,26.7,19,3870.7,60102,"San Mateo County "
"Rialto",99467,7.7,91873,9.5,37.7,6.4,51.1,39.4,22.3,1.1,2.5,0.4,5.2,51.2,47.5,22.3,43,66.5,8.7,33.9,26045,68.4,116900,24659,3.69,41254,13375,17.4,NA,378675,3930,45688,4862,31.1,NA,3.5,44.4,NA,38.9,21,4200.9,60466,"San Bernardino County "
"Richmond",102120,2.9,99216,7.7,27.7,9.9,51.4,31.4,36.1,0.6,12.3,0.5,5.3,26.5,51.5,25.8,36.2,75.4,22.4,34.3,36044,53.3,171900,34625,2.82,44210,19788,16.2,3733698,858764,8411,59032,6209,14.2,NA,18.9,NA,NA,45.8,29,3309.4,60620,"Contra Costa County "
"Riverside",293761,14.9,255166,8,30.1,9,50.7,59.3,7.4,1.1,5.7,0.4,5.1,38.1,47.5,19.9,35.3,74.9,19.1,28.7,85974,56.6,138500,82005,3.02,41646,17882,15.8,3147818,3450302,12605,303952,18887,6.2,2,8.5,19.9,NA,29.3,78,3267.2,62000,"Riverside County "
"Rocklin",50131,37.5,36330,7.9,30,8.6,51.1,88.3,0.9,0.8,4.2,0.2,3.7,7.9,39.9,5.2,7.4,94.4,36.1,27.2,14421,72.7,213100,13258,2.74,64737,26910,4.5,581775,298881,6890,29528,3901,NA,NA,NA,4,NA,NA,16,2246.8,62364,"Placer County "
"Rohnert Park",41083,-0.6,42236,6.3,25.3,8.1,51.5,80.3,2,0.8,5.6,0.4,5.2,13.6,45.2,12.3,16.9,88,24.7,27.9,15808,58.4,237300,15503,2.65,51942,23035,8,NA,533436,12964,73526,2906,NA,NA,NA,6.4,NA,NA,6,6568.6,62546,"Sonoma County "
"Rosemead",54991,2.8,53505,7.5,27.5,10.6,50.9,26.6,0.7,0.9,48.8,0.1,3.4,41.3,57.4,56.4,80,53.2,12.9,27,14345,48.8,182200,13913,3.8,36181,12146,22.8,940120,230887,4232,60074,3919,NA,NA,47.7,NA,NA,25.3,5,10389.3,62896,"Los Angeles County "
"Roseville",107158,34,79921,7.3,26.8,14.5,52.1,86,1.3,0.7,4.3,0.2,3.5,11.5,40.4,9,13.4,90.9,31.4,26.3,31925,69.5,194900,30783,2.57,57367,27021,4.9,994417,2932064,31956,223350,8225,NA,NA,5.3,4,NA,25.6,30,2622.1,62938,"Placer County "
"Sacramento",453781,11.5,407018,7.1,27.3,11.4,51.4,48.3,15.5,1.3,16.6,0.9,6.4,21.6,48.6,20.3,32.6,77.3,23.9,23.4,163957,50.1,128800,154581,2.57,37049,18721,20,6123441,3864211,8910,718759,29607,7.8,NA,16.2,9.4,NA,31.8,97,4189.2,64000,"Sacramento County "
"Salinas",145032,1.5,151060,9.3,32,7.1,46.8,45.2,3.3,1.3,6.2,0.3,5.1,64.1,45.9,35.2,60.4,56,12.3,24.2,39659,50.1,195700,38298,3.66,43720,14495,16.7,3814588,1767414,12000,161692,7932,NA,NA,12.8,NA,NA,31.2,19,7946.3,64224,"Monterey County "
"San Bernardino",198985,7,185401,9.8,35.2,8.2,50.8,45.2,16.4,1.4,4.2,0.4,5.3,47.5,45,20.6,40.4,64.9,11.6,27.9,63535,52.4,98700,56330,3.19,31140,12925,27.6,NA,2483481,12923,258114,10548,16.9,NA,8.5,30.2,NA,41,58,3152.5,65000,"San Bernardino County "
"San Bruno",39986,-0.4,40165,6.1,23,11.2,50.6,57.7,2,0.5,18.7,2.9,7.5,24.1,59.5,32.4,42.2,84.5,26.2,26.2,14980,63,385100,14677,2.72,62081,26360,4.4,169398,163980,4170,26546,2820,NA,NA,11,NA,NA,23.2,5,7356.2,65028,"San Mateo County "
"San Buenaventura",104092,3.1,100916,6.6,25,12.8,50.8,78.8,1.4,1.2,3,0.2,4.3,24.3,47.6,13,21.5,85.7,29.2,22.3,39803,58.7,245400,38524,2.56,52298,25065,9,NA,1678951,16268,197309,11074,NA,NA,NA,11.6,NA,33.2,21,4789.6,65042,"Ventura County "
"San Carlos",27002,-2.6,27718,7,22.1,14.3,51.9,84.5,0.8,0.2,7.9,0.4,3.8,7.7,59.9,15.6,19.2,94.6,49.8,26.1,11691,72.7,626400,11455,2.4,88460,46628,2.7,595592,433952,16031,38296,3989,NA,NA,NA,NA,NA,39,5,4682.1,65070,"San Mateo County "
"San Clemente",61050,22.3,49936,6.5,24.1,13.1,49.4,87.9,0.8,0.6,2.6,0.1,2.8,15.9,48.1,13.5,18.6,90.7,36.1,27.2,20653,62.4,372400,19395,2.56,63507,34169,7.6,714040,368102,6593,70063,7643,NA,NA,NA,7.2,NA,38.8,17,2834.1,65084,"Orange County "
"San Diego",1256951,2.7,1223400,6.7,24,10.5,49.6,60.2,7.9,0.6,13.6,0.5,4.8,25.4,43.6,25.7,37.4,82.8,35,23.2,469689,49.5,233100,450691,2.61,45733,23609,14.6,21359621,13953238,11136,3508436,110024,3.3,0.9,10.5,11.8,NA,29.6,324,3772,66000,"San Diego County "
"San Dimas",35714,2.1,34980,5.9,25.5,11.9,52,74.7,3.3,0.7,9.4,0.2,4.4,23.3,56.1,15.4,26.5,87.3,28.4,30.1,12503,73.7,232400,12163,2.78,62885,28321,6.3,720195,223283,6253,52494,3458,NA,NA,NA,14.7,NA,NA,15,2255.3,66070,"Los Angeles County "
"San Francisco",744041,-4.2,776733,4.1,14.5,13.7,49.2,49.7,7.8,0.5,30.8,0.5,4.3,14.1,54.2,36.8,45.7,81.2,45,30.7,346527,35,396400,329700,2.3,55221,34556,11.3,8896586,8883316,11658,3546865,91873,2.9,0.5,21.4,5.8,0.3,31,46,16636,67000,"San Francisco County "
"San Gabriel",41024,3,39804,6.7,23.5,13.4,52,33.4,1.1,0.8,48.9,0.1,3.3,30.7,56,52.6,70.2,69.2,24.6,28.3,12909,47.6,232600,12587,3.1,41791,16807,15.9,183195,352320,8671,59220,4245,NA,NA,68.1,8.6,NA,36.5,4,9637.8,67042,"Los Angeles County "
"San Jose",929936,3.9,894943,7.6,26.4,8.3,49.2,47.5,3.5,0.8,26.9,0.4,5,30.2,51.8,36.9,51.2,78.3,31.6,27.8,281841,61.8,394000,276598,3.2,70243,26697,8.8,24982537,9091996,10146,1167123,60695,2.7,NA,26.8,12.9,NA,27.8,174,5118.1,68000,"Santa Clara County "
"San Juan Capistrano",34839,3,33826,7.2,28.1,13.1,50.8,78.5,0.8,1.1,1.9,0.1,3.4,33.1,49.6,23.7,32.1,81.6,30.7,24.6,11320,78.9,337800,10930,3.06,62392,29926,10.7,NA,618727,17954,48650,4172,NA,NA,NA,11.8,NA,36,14,2380.4,68028,"Orange County "
"San Leandro",78030,-1.8,79452,6.3,22.2,16,51.8,51.3,9.9,0.8,23,0.9,5.8,20.1,54.1,27.4,38.8,80.9,23.3,30.5,31334,60.6,235500,30642,2.57,51081,23895,6.4,2144397,1803315,22537,95398,6459,NA,NA,NA,8.2,NA,28.2,13,6051.2,68084,"Alameda County "
"San Luis Obispo",42963,-2.8,44174,3.4,14.2,12.1,48.6,84.1,1.5,0.7,5.3,0.1,3.6,11.7,33.5,9.5,13.9,91.1,40.9,15.4,19306,41.9,278800,18639,2.27,31926,20386,26.6,223229,998648,22685,173065,4890,NA,NA,NA,NA,NA,23.2,10,4143.9,68154,"San Luis Obispo County "
"San Marcos",76501,39,54977,8.8,29.1,11.9,50.4,67.4,2,0.8,4.7,0.2,4.5,36.9,42.4,25.6,36.6,75.1,20,27.1,18862,66,206400,18111,3.03,45908,18657,12,789185,725240,11769,77657,5568,NA,NA,2.4,11,NA,NA,23,2313.8,68196,"San Diego County "
"San Mateo",91601,-0.9,92482,6.1,20.4,15.1,51.1,66.2,2.6,0.5,15.1,1.6,5,20.5,54.5,30.2,37.6,85.9,38.6,25.5,38249,53.9,477300,37338,2.44,64757,36176,6.1,616666,1291388,14085,244482,9772,2.8,NA,17.1,NA,NA,27.3,12,7568.1,68252,"San Mateo County "
"San Pablo",31044,2.6,30215,9.1,31.7,8.7,50.9,31.6,18.3,0.9,16.4,0.5,6.8,44.6,50.6,40.9,58.5,62.4,10.4,33.4,9340,49.1,146100,9051,3.29,37184,14303,18.1,NA,226402,7350,22542,1406,NA,NA,NA,NA,NA,NA,2,11711.2,68294,"Contra Costa County "
"San Rafael",56008,-0.1,56063,5.8,19.5,14.4,50.5,75.8,2.2,0.6,5.6,0.2,4.5,23.3,50.7,28.1,32.9,84.7,43.6,30.7,22948,53.8,477100,22371,2.42,60994,35762,10.2,1369841,1382569,24584,119767,9462,NA,NA,NA,7.1,NA,23.1,16,3379.3,68364,"Marin County "
"San Ramon",49589,10.7,44722,7.4,26.3,6.1,50.7,76.8,1.9,0.4,14.9,0.2,3.6,7.2,46.2,16.4,20.2,96.5,52.7,31.3,17552,71.3,428700,16944,2.63,95856,42336,2,8235574,441978,9448,124628,5493,NA,NA,15.9,NA,NA,30.6,11,3862,68378,"Contra Costa County "
"Santa Ana",340024,0.6,337977,10.3,34.2,5.5,48.2,42.7,1.7,1.2,8.8,0.3,4.6,76.1,47.2,53.3,79.6,43.2,9.2,27.1,74588,49.3,184500,73002,4.55,43412,12152,19.8,3615801,2972446,8707,363556,19673,2.6,NA,15.9,30.8,NA,25.4,27,12453.1,69000,"Orange County "
"Santa Barbara",85681,-4.4,92325,5.6,19.8,13.8,50.8,74,1.8,1.1,2.8,0.1,3.8,35,47,25.3,36,81.3,39.6,16.7,37076,42,479800,35605,2.47,47498,26466,13.4,582946,1590072,17912,372953,13289,NA,NA,2.9,9.9,NA,25.4,18,4864.3,69070,"Santa Barbara County "
"Santa Clara",108518,6,102361,6.5,19.9,10.6,49.1,55.6,2.3,0.5,29.3,0.4,5,16,45.7,35,42.4,86.9,42.4,21.8,39630,46.1,396500,38526,2.58,69466,31755,7.8,9905416,1653400,16316,370062,8975,NA,NA,25.5,NA,NA,NA,18,5566.1,69084,"Santa Clara County "
"Santa Clarita",168008,11.1,151088,7.8,30.3,7.1,50.5,79.5,2.1,0.6,5.2,0.1,3.9,20.5,51.1,16.3,23.1,87.6,29.1,33,52442,74.7,229200,50787,2.95,66717,26841,6.4,4182694,2078512,13085,184071,14533,1.7,NA,7.1,10.4,NA,23.6,47,3158.9,69088,"Los Angeles County "
"Santa Cruz",54778,-1.9,54593,4.9,17.3,8.5,50.2,78.7,1.7,0.9,4.9,0.1,4.5,17.4,40.5,15.1,22.3,89.1,44.4,23.3,21504,46.6,411900,20442,2.44,50605,25758,16.5,456028,693311,12548,168117,6477,NA,NA,NA,5.6,NA,30.2,12,4357,69112,"Santa Cruz County "
"Santa Maria",84712,9.4,77423,9,31.6,11.3,49.2,58.1,1.9,1.8,4.7,0.2,5.4,59.7,45.7,32,51.6,61,11,20,22847,55.9,145600,22146,3.4,36541,13780,19.7,672972,1239596,15617,116278,5072,2.3,NA,NA,14.7,NA,27.5,19,4005.3,69196,"Santa Barbara County "
"Santa Monica",88050,4.7,84084,4.1,14.6,14.4,51.8,78.3,3.8,0.5,7.3,0.1,4.1,13.4,52.6,24.8,29.2,91,54.8,25,47863,29.8,625900,44497,1.83,50714,42874,10.4,4810469,3081902,35614,591059,20965,1.6,NA,7.4,5.2,NA,28.4,8,10179.7,70000,"Los Angeles County "
"Santa Paula",28531,-0.3,28598,8.8,31.4,10.7,49.1,55.2,0.4,1.4,0.7,0.2,4.7,71.2,53.4,29.5,57.6,57.8,8.6,25.3,8341,57.7,179800,8136,3.49,41651,15736,14.7,NA,138786,4836,17879,1651,NA,NA,NA,49.1,NA,NA,4,6217,70042,"Ventura County "
"Santa Rosa",154212,3.9,147595,6.5,24.3,13.9,51.2,77.6,2.2,1.4,3.8,0.3,4.4,19.2,47,16.3,22.2,84.2,27.6,23.1,57578,58.5,245000,56036,2.57,50931,24495,8.5,991437,2654974,17374,237069,15007,1.4,NA,4,NA,NA,31.7,40,3677.9,70098,"Sonoma County "
"Santee",52530,-0.8,52975,6.7,28.2,8.9,51.8,86.7,1.5,0.8,2.5,0.4,4,11.4,54.4,6.6,11.7,88.4,17,26.7,18833,71,187700,18470,2.81,53624,21311,5.4,179109,496501,9406,43220,3738,NA,NA,2.7,NA,NA,NA,16,3298.6,70224,"San Diego County "
"Saratoga",30045,0.6,29843,5.4,26,16.3,50.9,67.4,0.4,0.2,29.1,0.1,2.3,3.1,65.2,25.6,32.7,96.5,68.2,26.6,10649,90,1000001,10450,2.83,139895,65400,2.8,NA,94964,3237,34901,3344,NA,NA,29.2,NA,NA,43.8,12,2464.3,70280,"Santa Clara County "
"Seaside",34066,2.9,31696,9.7,30.2,8.5,49.1,49.2,12.6,1,10.1,1.3,7.3,34.5,47.2,31.2,43.6,70.1,17.5,19.6,11005,44,237700,9833,3.21,41393,15183,12.1,13909,565311,16634,40145,1677,NA,NA,NA,NA,NA,NA,8,3589.6,70742,"Monterey County "
"Simi Valley",121288,8.9,111351,7.3,28.4,7.6,50.5,81.3,1.3,0.7,6.3,0.1,3.7,16.8,52.1,15.1,21,86.9,24.9,29,37272,77.6,239900,36421,3.04,70370,26586,5.8,NA,1181889,10174,133809,11352,NA,NA,NA,15.2,NA,28.8,39,2842,72016,"Ventura County "
"South Gate",98434,2.1,96375,10.1,35.6,5.4,50.4,41.6,1,0.9,0.8,0.1,4.5,92,52.9,49.3,86.8,39.9,4.9,30.5,24269,46.9,161400,23213,4.15,35695,10602,19.2,1784189,591835,6010,60955,5350,NA,NA,NA,58.6,NA,25.9,7,13076.7,73080,"Los Angeles County "
"South San Francisco",61354,1.3,60552,6.5,24.2,12.6,50.4,44,2.8,0.6,28.9,1.6,7,31.8,61.1,39.1,54.7,79.8,25.2,26.7,20138,62.5,352900,19677,3.05,61764,23562,5.2,5872580,681652,11409,152217,5112,NA,NA,31.1,NA,NA,27.1,9,6713.1,73262,"San Mateo County "
"Stanton",37640,0.6,37403,9.3,30.4,9.6,49.4,49.6,2.3,1.1,15.5,0.9,5,48.9,43.1,41.3,58.5,62.7,11.9,29.5,11011,48.9,164000,10767,3.43,39127,14197,18,NA,341484,9046,36956,2140,NA,NA,15.9,23.6,NA,NA,3,11988.1,73962,"Orange County "
"Stockton",290141,19,243771,8.6,32.4,10.2,51.3,43.3,11.2,1.1,19.9,0.4,6.8,32.5,48.5,24.5,41.5,68.2,15.4,27.2,82042,51.6,119500,78556,3.04,35453,15405,23.9,2771636,2522032,9608,284361,14231,NA,NA,18.9,17.6,NA,26.8,54,4455.7,75000,"San Joaquin County "
"Suisun City",26917,3.1,26118,7.7,32.5,5.7,50.5,44.4,19.3,0.7,17.7,1,8.3,17.8,56.5,19.8,28.9,85.6,17.3,36.3,8146,73.6,160700,7987,3.26,60848,20386,6.5,NA,78667,2927,NA,1327,NA,NA,NA,NA,NA,NA,4,6513.2,75630,"Solano County "
"Sunnyvale",130519,-1,131760,7,20.4,10.6,48.6,53.3,2.2,0.5,32.3,0.3,4.3,15.5,46.2,39.4,45.8,89.4,50.8,22.2,53753,47.6,495200,52539,2.49,74409,36524,5.4,6756820,1395768,10828,249481,9579,3.5,1.7,21.3,9.1,NA,28.9,21,6005.5,77000,"Santa Clara County "
"Temecula",89392,41.2,57716,8.9,34.7,7.1,50.6,78.9,3.4,0.9,4.7,0.3,4.4,19,38,12,19.4,90.1,25,33.8,19099,73.4,190100,18293,3.15,59516,21557,6.7,1296028,1599974,21691,183946,7745,NA,NA,3.9,13.7,NA,25.3,26,2197.9,78120,"Riverside County "
"Temple City",37890,13.5,33377,5.7,24,14,52.4,48.7,0.9,0.4,38.9,0.1,3.5,20.5,58.2,38.6,51.7,83.5,28.5,31.1,11674,63.1,234800,11338,2.9,48722,20267,9.3,NA,128470,3632,NA,3348,NA,NA,31.4,NA,NA,NA,4,8323.4,78148,"Los Angeles County "
"Thousand Oaks",124207,6.2,117005,6.7,26,11.1,50.9,85.1,1.1,0.5,5.9,0.1,2.8,13.1,52.3,15.6,19.1,91.4,42.2,26.2,42958,75.3,324800,41793,2.75,76815,34314,5,NA,2471333,20220,225945,15202,NA,NA,NA,6.9,NA,26.1,54,2132.8,78582,"Ventura County "
"Torrance",142350,3.4,137946,5.7,23,14.1,51.4,59.2,2.2,0.4,28.6,0.3,4.7,12.8,54.2,27.6,35.4,90.6,36.4,25.1,55967,56,320700,54542,2.51,56489,28144,6.4,32841574,3977253,28283,377312,16707,1.6,NA,30.9,NA,NA,27.3,20,6716,80000,"Los Angeles County "
"Tracy",80308,41.1,56929,9.4,34.4,6.4,50,65.2,5.5,0.9,8.1,0.6,6.6,27.7,45.4,16.8,27.2,81.5,18,41.9,18087,72.2,214200,17620,3.21,62794,21397,7,1714772,825490,12170,71501,4285,NA,NA,25.6,15.1,NA,37,21,2710.9,80238,"San Joaquin County "
"Tulare",52109,18.3,43994,9.6,34.6,9.4,51.4,56.4,5,1.4,2,0.1,6,45.6,51.7,17.6,37.4,65,8.2,20,14253,60.5,94700,13543,3.22,33637,13655,20.7,190335,439407,9590,41007,2505,NA,NA,6.7,NA,NA,44.6,16,2648.6,80644,"Tulare County "
"Turlock",68492,22.3,55810,8.1,29.8,11.8,51.9,72.3,1.4,0.9,4.5,0.3,5.4,29.4,49.6,21.5,37.1,70.4,19.1,22.2,19095,55.8,128300,18408,2.92,39050,16844,16.2,185158,642300,10425,72320,3773,NA,NA,9.6,9.6,NA,NA,13,4196.2,80812,"Stanislaus County "
"Tustin",69665,3,67504,8.6,26.8,7.1,51,58.7,2.9,0.7,14.9,0.3,4.6,34.2,36.1,33.3,46.6,79.9,33.4,23.6,25501,49.6,273300,23831,2.82,55985,25932,8.5,1520948,1498837,21891,122082,7483,NA,NA,15.8,10.2,NA,27.2,11,5921.4,80854,"Orange County "
"Twentynine Palms",30531,6.8,14764,9.8,31.2,8.6,49.5,71,9.4,1.5,3.8,1.8,6.4,14.9,38.1,6,13.5,82,13.3,21.1,6952,43.3,75400,5653,2.6,31178,14613,16.8,NA,45154,1535,22110,771,NA,NA,NA,NA,NA,38.9,54,269.3,80994,"San Bernardino County "
"Union City",69477,3.9,66869,7.3,27.8,8.1,50.3,30.2,6.7,0.5,43.4,0.9,6.7,24,52.4,44,59.3,80.5,29.5,32.1,18877,71.3,312600,18642,3.57,71926,22890,6.5,3276367,571561,8236,70833,4003,NA,NA,NA,NA,NA,23.3,19,3473.7,81204,"Alameda County "
"Upland",73379,7,68393,7,27.3,10.8,51.9,67.2,7.6,0.8,7.3,0.1,4.7,27.5,49,16.2,26.8,83.8,26.7,29.3,25467,58.9,211000,24551,2.76,48734,23343,12,286694,648720,9139,63964,6456,3.9,NA,10.2,11.4,NA,16,15,4523.3,81344,"San Bernardino County "
"Vacaville",92691,4.5,88625,6.6,27,8.3,45.8,72.1,10,1,4.2,0.5,5.5,17.9,44.7,9,15.4,83.9,19.4,29.6,28696,66.7,181300,28105,2.83,57667,21557,6.1,NA,1031516,11065,108261,5035,NA,NA,NA,NA,NA,32.5,27,3272.7,81554,"Solano County "
"Vallejo",116844,0.1,116760,7.2,27.6,11.2,51.6,36,23.7,0.7,24.2,1.1,6.6,15.9,54.1,24.7,33.2,81.7,21.1,35.4,41219,63.2,166400,39601,2.9,50030,20415,10.1,315246,1353032,11342,99904,6515,NA,NA,25.7,NA,NA,36.6,30,3867.5,81666,"Solano County "
"Victorville",98662,54,64029,8.6,34.2,11.2,51.6,61.1,11.9,1.1,3.5,0.2,6,33.5,47.7,12.3,24.6,76.7,10.6,35.4,22498,65.1,98700,20893,3.03,36187,14454,18.7,146120,1355160,19088,123606,4921,7.8,NA,5.7,NA,NA,28,72,879.8,82590,"San Bernardino County "
"Visalia",113487,22.5,91565,8.1,31.3,10.9,51.8,69.5,1.9,1.4,5.1,0.1,4.2,35.6,47.7,12.8,29.1,76.4,18.9,19.1,32654,62.7,115300,30883,2.91,41349,18422,16.8,1312138,1325227,13655,116848,7189,NA,NA,NA,NA,NA,28.1,28,3203.8,82954,"Tulare County "
"Vista",89891,-0.2,89857,8.6,29.7,10,50,64.3,4.2,1,3.7,0.7,4.8,38.9,42.6,24.4,36.9,75.9,19.6,26.6,29814,54.2,201600,28877,3.03,42594,18027,14.2,914910,889907,9783,78071,7186,NA,NA,NA,14.9,NA,NA,18,4810.3,82996,"San Diego County "
"Walnut",31294,4.3,30004,4.9,27.8,6.9,50.8,28.4,4.2,0.2,55.8,0.1,3.7,19.3,66.1,46.2,64,88.8,41.9,35.5,8395,88.9,279700,8260,3.63,81015,25196,6.5,648898,144802,4721,11894,3453,NA,NA,51.9,NA,NA,NA,8,3341.2,83332,"Los Angeles County "
"Walnut Creek",63701,-1.2,64296,4.4,17.6,25.3,53.8,83.9,1.1,0.3,9.4,0.1,3.2,6,52.7,18.2,19.4,95,54,32.8,31425,68.3,391200,30301,2.09,63238,39875,3.7,1762218,1565342,23984,184278,8819,NA,NA,9.5,4.9,NA,31,19,3229.3,83346,"Contra Costa County "
"Watsonville",48709,4.9,44265,9.3,34,8.6,49.8,43,0.8,1.7,3.3,0.1,5.2,75.1,49.8,44.2,70.7,49.1,8.7,23.5,11695,48.1,224700,11381,3.84,37617,13205,19.1,1031776,686994,14788,49966,2728,NA,NA,NA,NA,NA,NA,6,6970.9,83668,"Santa Cruz County "
"West Covina",107745,2.5,105080,7.6,28.5,10.4,51.4,43.9,6.4,0.8,22.7,0.2,4.9,45.7,55.8,32.5,53,78.2,21.9,33.8,32058,66.5,190200,31411,3.32,53002,19342,9,112201,1393421,13010,114939,7266,NA,NA,NA,NA,NA,22.8,16,6522.7,84200,"Los Angeles County "
"West Hollywood",36514,2,35716,1.6,5.7,17,44.8,86.4,3.1,0.4,3.8,0.1,3.4,8.8,44.8,35.9,38,91.1,46.8,26.9,24110,21.6,406400,23120,1.53,38914,38302,11.5,502602,899589,24630,286231,8512,2,NA,NA,NA,NA,23.3,1,18997.9,84410,"Los Angeles County "
"West Sacramento",44162,39.7,31615,7.7,29.8,12.7,50.6,65,2.6,1.8,7.2,0.6,6.9,30,48.6,25.1,38.4,69.9,9.8,21.2,12133,54.5,113000,11404,2.75,31718,15245,22.3,5533588,298170,8234,32503,2674,NA,5.9,5.3,11,NA,31.3,20,1509.8,84816,"Yolo County "
"Westminster",89520,1.5,88207,7.3,25.9,11.2,50,45.8,1,0.6,38.1,0.5,3.8,21.7,53,42.6,56.6,71.5,18.1,27.8,26940,60.2,227300,26406,3.32,49450,18218,13.5,234086,1400814,15750,91132,8436,NA,NA,NA,NA,NA,37.2,10,8724.7,84550,"Orange County "
"Whittier",84015,0.5,83680,7.8,28.3,12.5,51.4,63.2,1.2,1.3,3.3,0.2,5,55.9,55.9,18.3,39.3,78.8,21.9,30.1,28977,57.8,211700,28271,2.88,49256,21409,10.5,NA,739283,8694,107715,6376,NA,NA,10.9,33.5,NA,NA,14,5719.8,85292,"Los Angeles County "
"Woodland",51144,3.2,49151,8.1,29.7,10.5,51,66.8,1.3,1.5,3.8,0.3,4.9,38.8,46,19.4,35.2,73,18,20.7,17120,58.5,153100,16751,2.89,44449,18042,11.9,NA,508046,9979,46112,3216,NA,NA,NA,19.5,NA,31.1,10,4767.3,86328,"Yolo County "
"Yorba Linda",65314,10.8,58918,6,29.3,7.7,50.9,81.5,1.2,0.4,11.1,0.1,3.1,10.3,60.6,13.9,19.1,93.4,41.5,30.4,19567,84.7,346100,19252,3.05,89593,36173,3,2055113,489133,8031,65188,6370,NA,NA,12.3,NA,NA,NA,19,3041.7,86832,"Orange County "
"Yuba City",60360,19.4,36758,8.1,29,12.2,51.1,67,2.8,1.8,8.9,0.3,4.9,24.6,41.6,19.5,29.1,72.6,14.4,25.2,13912,47.4,115700,13290,2.7,32858,15928,18.1,182696,770487,14583,66561,3353,NA,NA,14,NA,NA,23.3,9,3922.9,86972,"Sutter County "
"Yucaipa",50223,21.9,41207,6.5,28.5,15.5,51.7,85.2,0.9,1.1,1.2,0.1,3.5,18.3,49.1,8.2,14.7,80.9,14.3,28.9,16112,74.2,140000,15193,2.67,39144,18949,11.2,NA,150435,3452,21610,3062,NA,NA,NA,NA,NA,38.8,27,1483.3,87042,"San Bernardino County "
