"city","pop","poppc","pop2000","babies","children","elderly","female","white","black","native","asian","islander","multir","hispanic","stayput","foreign","nonenglish","highschool","grads","commute","units","ownership","housevalue","households","housesold_size","housesold_income","income","poverty","trade_sales","retail_sales","retail_sales_pc","accomod","firms","firms_black","firms_native","firms_asian","firms_hispanic","firms_islander","firms_female","area","density","fips","county"
"Compton",95701,2.3,93493,10.4,38.5,6.9,51,16.7,40.3,0.7,0.3,1.1,3.6,56.8,59,31.4,55.2,48,5.9,29,23795,56.3,136200,22327,4.16,31819,10389,28,NA,201004,2110,39836,4303,27.8,NA,5.1,37.4,NA,28.8,10,9229.3,15044,"Los Angeles County "
"Concord",122204,0.3,121780,7.1,25.3,10.7,50.6,70.7,3,0.8,9.4,0.5,5.9,21.8,51.5,23.4,30.3,84.7,25.9,31.9,45083,62.6,233700,44020,2.74,55597,24727,7.6,1049210,2208279,17718,178739,9684,1.6,2.3,NA,NA,NA,35.4,30,4040.5,16000,"Contra Costa County "
"Corona",150253,17.5,124966,9.8,33.4,5.8,50.5,62,6.4,0.9,7.5,0.3,5.3,35.7,39.4,21.4,35.8,80.6,22,35.3,39271,67.5,194400,37839,3.29,59615,21001,8.3,4377509,1661278,11802,138202,11708,5.2,NA,16.5,19,NA,30.7,35,3555.2,16350,"Riverside County "
"Costa Mesa",109809,0.3,108724,7.1,23.2,8.4,48.8,69.5,1.4,0.8,6.9,0.6,4.3,31.8,43.8,29.2,37.5,79.1,29.1,22.8,40406,40.5,273100,39206,2.69,50732,23342,12.6,7689569,2899454,26261,374373,13604,1.1,NA,9.2,11.2,NA,29.4,15,6956.1,16532,"Orange County "
"Covina",47833,2.1,46837,7.4,28.1,10.9,52.1,62.1,5,0.9,9.8,0.2,4.8,40.3,50.7,20,35.6,81.9,18.8,30.8,16364,58.4,189500,15971,2.89,48474,20231,11.6,222296,482335,10104,63367,4316,NA,NA,NA,20.6,NA,25.6,6,6719.8,16742,"Los Angeles County "
"Culver City",39403,1.5,38816,5.5,20.9,13.9,53.3,59.2,12,0.7,12,0.2,5.7,23.7,57.2,26.6,35.2,87.2,41.2,26,17130,54.4,311100,16611,2.31,51792,29025,8.6,1195143,1824859,46110,129404,6971,5.9,NA,12.1,NA,NA,27.4,5,7596.1,17568,"Los Angeles County "
"Cupertino",52948,0.8,50546,6.1,26.6,11,50.1,50.1,0.7,0.2,44.4,0.1,3.1,4,49.3,42.8,50,95.5,65.4,25.8,18682,63.6,649000,18204,2.75,100411,44749,4.8,NA,1218870,23627,99726,4841,NA,NA,28,NA,NA,25.8,10,4620.3,17610,"Santa Clara County "
"Cypress",47606,2.2,46229,6,27,10.6,51.3,65.6,2.8,0.6,20.8,0.4,4.4,15.7,55,21.3,29.8,89.7,31.2,29.1,16028,69.4,252800,15654,2.93,64377,25798,6,6001850,245333,5209,67357,4019,NA,NA,30.9,8.6,NA,22.7,6,6993.8,17750,"Orange County "
"Daly City",101005,-2.5,103621,6,22.5,12,50.8,25.9,4.6,0.4,50.7,0.9,6.2,22.3,56.4,52.4,66.4,82,29.1,29.9,31311,59.8,335000,30775,3.34,62310,21900,7.1,68540,768296,7564,96056,5702,NA,NA,46.7,NA,NA,25.8,7,13706.5,17918,"San Mateo County "
"Dana Point",35945,2.4,35110,5.6,20.6,13,50,87.2,0.8,0.6,2.5,0.1,2.8,15.5,46,15.7,17.4,90.7,41,28.9,15682,62,381400,14456,2.41,63043,37938,6.7,307163,202247,5666,244507,4939,NA,NA,NA,NA,NA,29.2,6,5287.7,17946,"Orange County "
"Danville",41540,-0.4,41715,7.1,28.6,10.3,51.5,86.3,0.9,0.2,9,0.1,2.5,4.7,53.9,11,13.2,96.6,59.4,30.9,15130,89.1,541400,14816,2.78,114064,50773,2.2,304202,313711,7401,52401,5010,NA,NA,8.2,NA,NA,32.9,18,2306,17988,"Contra Costa County "
"Davis",60964,3.9,60308,4.6,18.6,6.6,52.3,70.1,2.3,0.7,17.5,0.2,4.9,9.6,30.5,17.2,24.4,96.4,68.6,20.6,23617,44.6,238500,22948,2.5,42454,22937,24.5,NA,425096,6842,84875,4744,NA,NA,NA,4.2,NA,32.7,10,5771.1,18100,"Yolo County "
"Delano",50310,27,38824,9.1,32.5,7.5,43.5,26.2,5.4,0.9,15.9,0.1,4.5,68.5,47.4,38.2,72.5,48.7,5.5,23.2,8830,59.4,86700,8409,4.02,28143,11068,28.2,157179,218015,5227,21118,1224,NA,NA,14.9,NA,NA,19,10,3844,18394,"Kern County "
"Diamond Bar",57759,2.6,56287,5.7,27,7.5,51,41,4.8,0.3,42.8,0.1,4.2,18.5,56.9,38.3,53.9,90.7,42.3,34.7,17959,82.6,245800,17651,3.18,68871,25472,6,2830262,259178,4493,59937,6092,3.3,NA,40.2,NA,NA,29.4,14,3813.5,19192,"Los Angeles County "
"Downey",109376,1.9,107323,8,29.2,11,51.4,53.5,3.8,0.9,7.7,0.2,4.9,57.9,50.3,35.3,60.3,72.3,17.3,28,34759,51.8,209700,33989,3.11,45667,18197,11.1,727944,1173379,10753,129483,8664,NA,NA,12.3,39.4,NA,26.6,12,8641.1,19766,"Los Angeles County "
